,0
0,30.136671
1,28.851036
2,64.38112
3,57.73007
4,30.455597
5,34.96351
6,27.736273
7,26.990849
8,32.591866
9,38.122826
10,58.116444
11,32.825935
12,30.634079
13,35.15119
14,52.132057
15,36.775185
16,51.106216
17,44.507843
18,30.505733
19,35.351948
20,45.981197
21,25.685316
22,50.629692
23,56.521965
24,35.815887
25,42.76106
26,59.517563
27,36.155724
28,29.469866
29,33.6911
30,31.780039
31,34.66535
32,47.234848
33,32.331284
34,55.17263
35,61.173935
36,35.314056
37,45.181686
38,36.5352
39,34.297558
40,60.901024
41,62.41426
42,61.039303
43,58.71837
44,39.59969
45,55.965878
46,40.80967
47,47.004692
48,40.711544
49,48.588078
50,40.23421
51,27.148577
52,53.98712
53,41.773666
54,32.423798
55,27.547031
56,33.29478
57,49.519966
58,54.995182
59,40.946724
60,55.798824
61,53.005627
62,43.800797
63,46.25232
64,56.98546
65,51.469982
66,58.814884
67,54.784786
68,34.6137
69,55.326035
70,32.206425
71,59.881626
72,28.506807
73,45.021404
74,57.709476
75,32.071957
76,52.028515
77,61.28499
78,42.67242
79,63.87083
80,57.914
81,55.932583
82,40.526672
83,47.036808
84,59.901516
85,34.603096
86,38.62089
87,57.69216
88,28.39754
89,28.539236
90,42.781727
91,34.147495
92,51.79986
93,37.847355
94,32.546257
95,47.52336
96,37.24273
97,36.3149
98,51.286278
99,37.760975
