,0
0,37.4840205400737
1,38.521289796247544
2,65.86212420676853
3,59.26168017320278
4,38.164431391513375
5,40.557146831969646
6,33.17331868112956
7,33.42491443789068
8,39.87328273535317
9,40.83595797421533
10,59.8611247931452
11,36.528126406839995
12,37.557486662904914
13,37.223204695977024
14,55.079582499492105
15,40.130275043816916
16,53.71819605341979
17,44.921936722942746
18,36.6121407924265
19,38.98410719421006
20,47.37846698275023
21,30.109246625340916
22,49.18792100467253
23,60.39062320149225
24,38.487323284076275
25,55.99565072282681
26,59.18571446256085
27,38.85417755248382
28,34.69733398638825
29,38.41308001431545
30,36.942022571130266
31,44.097555075038265
32,60.082473296109285
33,38.31992961016708
34,51.97670026884693
35,62.73379295398707
36,39.83563552574698
37,49.46748545123607
38,43.98222714752101
39,35.15909671934834
40,62.76886050011235
41,59.597046087140846
42,68.02809775543196
43,55.42342405408028
44,41.449640860199054
45,59.92426812498398
46,46.69818815121457
47,54.51207752166585
48,45.79730190274234
49,54.550842663803294
50,41.56265321171222
51,37.59982221050456
52,56.73738904381471
53,51.75165104156514
54,41.57087940412789
55,38.09347860662597
56,37.68549468975873
57,54.80946673318938
58,57.353497271133655
59,47.93965681108732
60,58.73550961815985
61,55.048207667628006
62,53.322033667233725
63,52.786269022106616
64,56.36568963740484
65,58.5670746963643
66,62.930807200306056
67,59.154195675133415
68,40.29617237649659
69,59.4536438226272
70,42.392926781886175
71,59.929033119658136
72,36.41275304546835
73,52.657018013286304
74,60.6332119195762
75,39.03949356630288
76,59.164995071582396
77,61.09023784442352
78,48.368689265313236
79,62.52146542236435
80,61.55627818110681
81,56.94754942358891
82,56.60010874915491
83,54.945528318903314
84,61.01141112348146
85,39.04192860273062
86,44.159912572012615
87,58.2791431383167
88,33.508262148615025
89,34.954695286268446
90,44.54144388599376
91,37.100738999469996
92,54.84506901822146
93,42.92156827068962
94,39.188092661842845
95,50.66274639663031
96,44.164595189554746
97,39.47802817341099
98,54.843386329974564
99,41.10228337350529
