,0
0,44.50279615329347
1,43.24913638530957
2,70.53404411733754
3,60.297884429135934
4,28.9474986091652
5,44.23739994534422
6,22.86135854972155
7,26.864200428661846
8,28.852769194930673
9,37.3970601586507
10,63.67860031380651
11,38.27483416940815
12,35.70905782566142
13,35.252331416839866
14,61.14673130325806
15,41.902563974668496
16,60.21527205477741
17,48.6701395567129
18,43.89240319228443
19,30.684282147270068
20,38.733829335074326
21,17.805307035613197
22,53.0349419979606
23,71.92601904582719
24,33.00529199911372
25,56.371913836741825
26,61.43453374772477
27,34.56783476681991
28,26.782958586321527
29,38.04556876962944
30,34.309749164141834
31,54.241569399891276
32,78.06204842939133
33,36.05511689703313
34,51.964787928921055
35,78.69405560923437
36,30.922507672522755
37,53.725952956756856
38,41.172747004091065
39,31.98000193241368
40,60.89393091692342
41,62.390872779190616
42,59.874038541608925
43,64.04146272919385
44,44.624839745250995
45,60.995162023814885
46,47.82259420700983
47,49.83220526599476
48,42.055014689712685
49,51.43803992746376
50,43.99508139931953
51,34.40958391923675
52,54.88881834724563
53,57.62985437044674
54,44.258741955534965
55,34.10168412967104
56,34.48216740821919
57,59.69625165870063
58,47.873132184310634
59,43.715127086233494
60,53.95998576276969
61,55.35963591170894
62,60.589206081275734
63,60.983940847901735
64,60.798889304574125
65,72.78242001419711
66,68.35972995537948
67,62.42957955556998
68,31.501989231636166
69,68.05090767677815
70,41.36779520953725
71,72.30401044179348
72,34.03840174296674
73,62.21586397491887
74,51.55147975528219
75,38.562249532204845
76,64.05282857860003
77,77.94783723794544
78,39.556963664379765
79,74.70229460837537
80,70.58776446397457
81,59.65688479579828
82,57.015246925126114
83,51.269466875791224
84,71.98412987935362
85,43.07602695719781
86,37.55691241435021
87,55.70411202534464
88,20.94308586362191
89,36.57905116756422
90,40.8409582742856
91,34.60296523467251
92,53.84354506508159
93,40.89290107563298
94,42.3577964063513
95,60.79713316256588
96,43.48193347551725
97,45.016839968909856
98,62.480868392241746
99,42.337182198276395
